LABEL,TEXT
ASKING_OUT,Do you want to grab coffee sometime?
ASKING_OUT,Are you free this Friday for a movie?
ASKING_OUT,Would you like to go out with me this weekend?
ASKING_OUT,I'd love to take you to dinner sometime
ASKING_OUT,Can I take you out on a date?
ASKING_OUT,Want to get drinks after work?
ASKING_OUT,I was wondering if you'd like to hang out just the two of us
ASKING_OUT,Would you be down to go to that new restaurant together?
ASKING_OUT,"Hey I think you're really cool, want to go out sometime?"
ASKING_OUT,"I got two tickets to the concert, want to come with me?"
ASKING_OUT,Can I buy you a drink?
ASKING_OUT,Want to go for a walk together this evening?
ASKING_OUT,I'd really like to get to know you better over dinner
ASKING_OUT,"Are you doing anything Saturday night? I'd love to hang"
ASKING_OUT,Let me take you somewhere nice this weekend
ASKING_OUT,Would you want to check out that new coffee shop with me?
ASKING_OUT,I've been wanting to ask you out for a while
ASKING_OUT,Would you be interested in going on a date?
ASKING_OUT,Can we get together sometime soon? Just us
ASKING_OUT,I'd love to spend some one-on-one time with you
ASKING_OUT,Want to grab lunch together tomorrow?
ASKING_OUT,"There's this great spot downtown, would you want to go?"
ASKING_OUT,How about we go see a movie this weekend?
ASKING_OUT,"I think we'd have a great time together, want to go out?"
ASKING_OUT,Would you like to come over for dinner? I'll cook
ASKING_OUT,Are you free tonight? I know a great place
ASKING_OUT,Let's go do something fun together
ASKING_OUT,Want to be my plus one to this event?
ASKING_OUT,"I have a reservation for two, would you join me?"
ASKING_OUT,Can I pick you up Friday night?
ASKING_OUT,I'd love to see you outside of here sometime
ASKING_OUT,"You seem really fun, want to hang out this weekend?"
ASKING_OUT,How about a picnic in the park this Saturday?
ASKING_OUT,Want to go hiking with me on Sunday?
ASKING_OUT,"I know this amazing sushi place, want to try it together?"
ASKING_OUT,Would you want to go bowling or something this week?
ASKING_OUT,"I'm going to this really cool bar later, want to come?"
ASKING_OUT,Can we go somewhere and talk? Maybe over coffee?
ASKING_OUT,I want to take you somewhere special
ASKING_OUT,How do you feel about going out with me?
ASKING_OUT,We should totally go on a date
ASKING_OUT,Want to go stargazing tonight?
ASKING_OUT,"There's a festival this weekend, want to check it out together?"
ASKING_OUT,I keep thinking about asking you to dinner
ASKING_OUT,Let me plan something nice for us this weekend
NEUTRAL,How was your day?
NEUTRAL,I am heading to the store now.
NEUTRAL,What time does the meeting start?
NEUTRAL,Did you see the weather forecast?
NEUTRAL,I just finished my homework
NEUTRAL,The traffic was terrible today
NEUTRAL,Have you watched that new show yet?
NEUTRAL,I'm making pasta for dinner tonight
NEUTRAL,My dog learned a new trick today
NEUTRAL,Can you send me that file?
NEUTRAL,I'll be there in 10 minutes
NEUTRAL,What are you up to?
NEUTRAL,Just got back from the gym
NEUTRAL,I need to go grocery shopping later
NEUTRAL,Did you hear about the new update?
NEUTRAL,I think it's going to rain tomorrow
NEUTRAL,My phone battery is almost dead
NEUTRAL,I'm so tired from work today
NEUTRAL,What did you think of the presentation?
NEUTRAL,Running a bit late sorry
NEUTRAL,The wifi is acting up again
NEUTRAL,I just saw the funniest meme
NEUTRAL,Happy birthday by the way!
NEUTRAL,Thanks for letting me know
NEUTRAL,No worries at all
NEUTRAL,I'll check and get back to you
NEUTRAL,That sounds interesting
NEUTRAL,I was just thinking about that
NEUTRAL,How's your family doing?
NEUTRAL,I started reading this new book
NEUTRAL,The game last night was crazy
NEUTRAL,I'm probably going to sleep early tonight
NEUTRAL,Just finished cleaning the apartment
NEUTRAL,Do you know where the nearest gas station is?
NEUTRAL,I forgot my umbrella at home
NEUTRAL,Let me know when you're ready
NEUTRAL,I had the weirdest dream last night
NEUTRAL,My car needs an oil change
NEUTRAL,Have a good weekend!
NEUTRAL,I'll text you later
NEUTRAL,Can you believe it's already February?
NEUTRAL,I need to call the dentist
NEUTRAL,That meeting was so long
NEUTRAL,I think my order just arrived
NEUTRAL,What's the homework for tomorrow?
NEUTRAL,I'm going to take a nap
NEUTRAL,The food at that place was decent
